Temps [s],Tension [V]
39.86,-1.775828
39.94,-2.312207
40.02,-1.732613
40.11,-0.891185
40.19,0.382395
40.27,2.230485
40.35,3.321037
40.43,2.815163
40.51,1.200944
40.59,-0.481911
40.67,-1.426293
40.75,-2.205439
40.83,-2.239757
40.91,-1.454256
40.99,-0.48064
41.08,1.23272
41.16,2.887612
41.24,3.392215
41.31,2.276243
41.4,0.42434
41.48,-0.84797
41.56,-1.759305
41.64,-2.31602
41.72,-1.798707
41.8,-0.940756
41.88,0.20445
41.96,2.010596
42.04,3.183764
42.12,2.893968
42.2,1.427189
42.28,-0.227703
42.36,-1.193693
42.44,-2.013512
42.53,-2.145701
42.61,-1.475863
42.69,-0.534024
42.77,1.006475
42.85,2.719835
42.93,3.354084
43.01,2.365216
43.09,0.524752
43.17,-0.813652
43.25,-1.737697
43.33,-2.36559
43.41,-2.007157
43.49,-1.116159
43.57,0.02142
43.65,1.791977
43.73,3.083352
43.82,2.942267
43.9,1.567003
43.98,-0.10187
44.06,-1.118701
44.14,-1.874969
44.22,-2.055457
44.3,-1.421209
44.38,-0.572155
44.46,0.784043
44.54,2.418599
44.62,3.234606
44.7,2.455459
44.78,0.764978
44.87,-0.650959
44.95,-1.622033
45.03,-2.272804
45.11,-1.994447
45.19,-1.191151
45.27,-0.068823
45.35,1.683939
45.43,3.017258
45.52,2.937183
45.6,1.593695
45.68,-0.048487
45.76,-1.08057
45.84,-1.852091
45.92,-2.102485
46,-1.436461
46.08,-0.600118
46.16,0.720492
46.24,2.351234
46.32,3.144362
46.4,2.473254
46.49,0.726847
46.56,-0.617912
46.65,-1.530518
46.73,-2.25501
46.81,-2.021139
46.89,-1.220384
46.97,-0.184488
47.05,1.597508
47.13,2.928286
47.21,2.995651
47.29,1.710631
47.37,0.018878
47.45,-1.163188
47.53,-2.124093
47.62,-2.398637
47.7,-1.686856
47.78,-0.663669
47.86,0.678547
47.94,2.278785
48.02,3.074455
48.1,2.466899
48.18,0.886998
48.26,-0.502248
48.34,-1.362741
48.42,-2.041475
48.5,-1.911829
48.58,-1.189879
48.66,-0.262021
48.74,1.308982
48.82,2.7872
48.9,2.995651
48.98,1.8568
49.07,0.128188
49.15,-1.009392
49.23,-1.755492
49.31,-2.166037
49.39,-1.66779
49.47,-0.898812
49.55,0.329012
49.63,2.074148
49.71,3.004548
49.8,2.508843
49.88,0.984868
49.96,-0.410733
50.04,-1.281394
50.12,-1.933437
50.2,-1.891493
50.28,-1.201319
50.36,-0.278545
50.44,1.236533
50.52,2.70077
50.6,2.981669
50.68,1.924165
50.76,0.32647
50.84,-0.820007
50.92,-1.604238
51,-2.042746
51.08,-1.641098
51.16,-0.90898
51.25,0.248936
51.33,1.900015
51.41,2.940996
51.49,2.610526
51.57,1.164084
51.65,-0.380228
51.73,-1.275039
51.81,-1.958858
51.89,-1.965213
51.97,-1.333507
52.05,-0.424714
52.13,1.049691
52.21,2.501217
52.29,2.995651
52.38,1.99153
52.46,0.443405
52.54,-0.733577
52.62,-1.477134
52.7,-1.901661
52.78,-1.576275
52.86,-0.919148
52.94,0.157421
53.02,1.788164
53.1,2.857107
53.19,2.613068
53.26,1.246702
53.35,-0.331928
53.43,-1.254702
53.51,-1.943605
53.59,-2.045288
53.67,-1.376722
53.75,-0.486995
53.83,0.921316
53.91,2.442749
53.99,2.980398
54.07,2.105924
54.15,0.508228
54.24,-0.839073
54.32,-2.105027
54.4,-2.750715
54.48,-2.471086
54.56,-1.47205
54.64,-0.02815
54.72,1.668686
54.8,2.783387
54.88,2.637218
54.96,1.339487
55.04,-0.417088
55.12,-2.144429
55.21,-3.147279
55.29,-3.313785
55.37,-2.538451
55.45,-1.044981
55.53,0.750996
55.61,2.34615
55.69,2.954977
55.77,2.146597
55.85,0.505686
55.93,-1.245805
56.01,-2.599461
56.09,-3.220999
56.17,-2.889258
56.25,-1.942334
56.33,-0.24804
56.41,1.505993
56.49,2.670265
56.57,2.675349
56.65,1.525059
56.74,-0.231516
56.82,-1.869885
56.9,-2.833332
56.98,-3.159989
57.06,-2.515573
57.14,-1.198777
57.22,0.550172
57.3,2.185999
57.38,2.929557
57.46,2.238112
57.55,0.561612
57.63,-1.207674
57.71,-2.582938
57.79,-3.293448
57.87,-3.049409
57.95,-1.899119
58.03,-0.361162
58.11,1.458965
58.19,2.629592
58.28,2.634676
58.36,1.448797
58.44,-0.26075
58.52,-1.864801
58.6,-2.904511
58.68,-3.1727
58.76,-2.626153
