Temps [s],Tension [V]
45.43,-0.701801
45.51,-1.550854
45.59,-2.195271
45.67,-2.590564
45.75,-2.739276
45.83,-2.617256
45.91,-2.239757
45.99,-1.620762
46.07,-0.77425
46.15,0.252749
46.24,1.420834
46.32,2.649928
46.4,3.87648
46.48,5.109388
46.56,6.180873
46.64,7.126526
46.72,7.844663
46.8,8.340368
46.88,8.653044
46.96,8.688633
47.04,8.520856
47.12,8.08616
47.2,7.429033
47.28,6.588877
47.36,5.56442
47.44,4.444635
47.52,3.238419
47.61,1.996614
47.68,0.832343
47.77,-0.295068
47.85,-1.248347
47.93,-1.977923
48.01,-2.46346
48.09,-2.697331
48.17,-2.692247
48.25,-2.408806
48.33,-1.87624
48.41,-1.139038
48.49,-0.201011
48.57,0.907334
48.65,2.07669
48.73,3.3007
48.82,4.525981
48.9,5.683897
48.98,6.699457
49.06,7.509109
49.14,8.145899
49.22,8.504332
49.3,8.651773
49.38,8.557716
49.46,8.209451
49.54,7.688325
49.62,6.944768
49.71,5.960984
49.78,4.911106
49.87,3.69218
49.95,2.475796
50.03,1.274664
50.11,0.153608
50.19,-0.878475
50.27,-1.657622
50.35,-2.25501
50.43,-2.604545
50.51,-2.694789
50.59,-2.521928
50.67,-2.115196
50.75,-1.469508
50.83,-0.614099
50.91,0.386208
50.99,1.561919
51.07,2.780845
51.15,3.995958
51.23,5.176753
51.31,6.248239
51.39,7.157031
51.48,7.848476
51.56,8.349265
51.64,8.621268
51.72,8.625081
51.8,8.430612
51.88,7.957785
51.96,7.305743
52.04,6.431268
52.13,5.339446
52.2,4.234913
52.28,2.996922
52.36,1.794519
52.44,0.644229
52.52,-0.40692
52.61,-1.301731
52.69,-1.983008
52.77,-2.476171
52.85,-2.688434
52.93,-2.632508
53.01,-2.312207
53.1,-1.730071
53.18,-0.959821
53.26,0.041757
53.34,1.211112
53.42,2.394449
53.5,3.614647
53.58,4.78146
53.66,5.877095
53.74,6.829103
53.82,7.592997
53.9,8.163694
53.98,8.50179
54.06,8.639062
54.14,8.506874
54.23,8.111581
54.31,7.516735
54.39,6.700728
54.47,5.718215
54.55,4.62258
54.63,3.41128
54.72,2.146597
54.8,0.949279
54.88,-0.137459
54.96,-1.086925
55.04,-1.849549
55.12,-2.371945
55.2,-2.638864
55.28,-2.643948
55.37,-2.361777
55.45,-1.855904
55.53,-1.109804
55.61,-0.190843
55.69,0.893353
55.77,2.071606
55.85,3.293074
55.93,4.477682
56.01,5.605093
56.09,6.606671
56.17,7.453183
56.25,8.08616
56.33,8.491622
56.41,8.679735
56.5,8.590763
56.58,8.284442
56.66,7.721372
56.74,6.975273
56.82,6.048685
56.9,4.960676
56.98,3.819284
57.06,2.605442
57.14,1.350927
57.22,0.209534
57.31,-0.803484
57.39,-1.632201
57.47,-2.204168
57.55,-2.577854
57.63,-2.642677
57.71,-2.471086
57.79,-2.049102
57.87,-1.384348
57.95,-0.540379
58.04,0.504415
58.12,1.644537
58.19,2.821518
58.28,4.101454
58.36,5.282249
58.44,6.330856
58.52,7.207873
58.6,7.868813
58.68,8.3302
58.76,8.539921
58.84,8.548818
58.92,8.334013
59,7.892962
59.08,7.281593
59.16,6.386782
59.25,5.358511
59.33,4.200595
59.41,2.989296
59.49,1.786893
59.57,0.592117
59.65,-0.465387
59.73,-1.334778
59.81,-2.013512
59.89,-2.448208
59.98,-2.633779
60.06,-2.565143
60.14,-2.223234
60.22,-1.642369
60.3,-0.867036
60.38,0.086243
60.46,1.181879
60.54,2.41987
60.62,3.599394
60.7,4.809423
60.78,5.9076
60.86,6.850711
60.94,7.595539
61.03,8.120478
61.11,8.429341
61.19,8.539921
61.26,8.425528
61.35,8.105226
61.43,7.525632
61.51,6.717252
61.59,5.755076
61.67,4.627664
61.75,3.437972
61.83,2.233028
61.91,1.052233
61.99,-0.058655
62.07,-0.997953
